Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3462.064500 3.875000 11.312500 -0.562500
3462.099820 6.562500 9.562500 -6.687500
3462.136249 -0.750000 4.500000 -3.062500
3462.172823 0.812500 1.000000 5.750000
3462.202941 -6.562500 -3.812500 10.125000
3462.244309 -8.000000 -4.125000 10.125000
3462.277447 -4.750000 -5.312500 9.625000
3462.342851 -3.812500 -2.562500 4.000000
3462.371583 -6.500000 -2.625000 3.062500
3462.446681 -2.687500 -7.187500 3.687500
3462.483648 -0.062500 -11.125000 1.187500
3462.549365 2.312500 2.062500 2.375000
3462.631328 4.937500 1.312500 -4.562500
3462.692400 0.687500 4.812500 -16.750000
3462.735531 -4.750000 8.562500 -5.625000
3462.771382 -6.687500 3.562500 11.375000
3462.808337 -3.625000 -4.250000 19.125000
3462.871337 -8.750000 -8.187500 12.812500
3462.924004 -9.812500 -4.250000 5.812500
3462.949374 -11.375000 -3.437500 3.187500
3462.978829 -6.625000 -8.187500 2.750000
3463.046525 -3.000000 -12.937500 6.062500
3463.094817 -5.062500 -2.500000 3.812500
3463.113758 -1.500000 -0.625000 3.187500
3463.162973 5.687500 -0.250000 2.937500
3463.239011 8.750000 11.312500 -13.125000
3463.292449 -10.750000 10.250000 -11.125000
3463.348388 3.250000 -5.812500 12.562500
3463.377650 -2.937500 -13.500000 19.125000
3463.442063 -7.250000 -12.437500 19.687500
3463.500434 -10.562500 -7.375000 11.187500
3463.554882 -10.125000 -8.687500 0.937500
3463.607792 -6.625000 -1.812500 5.687500
3463.646625 2.750000 -5.562500 3.687500
3463.689932 1.312500 -3.687500 2.875000
3463.759739 4.125000 0.187500 0.437500
3463.811449 3.062500 2.875000 -0.375000
3463.865279 8.562500 12.750000 -1.500000
3463.893698 -3.187500 14.250000 -14.375000
3463.985999 4.687500 0.562500 2.187500
3464.038509 4.000000 -10.000000 20.000000
3464.076055 -6.750000 -6.875000 18.625000
3464.148895 -10.250000 -3.187500 6.187500
3464.254350 -4.187500 -8.437500 2.875000
3464.353471 -2.000000 -6.562500 3.250000
3464.399080 4.750000 -7.187500 4.625000
3464.420373 8.875000 -1.187500 -1.250000
3464.460668 3.625000 11.875000 -4.125000
3464.532861 0.937500 12.125000 -16.937500
3464.599852 1.250000 3.125000 2.000000
3464.634207 -3.000000 -5.812500 14.750000
3464.672251 -3.625000 -8.437500 17.562500
3464.697785 -0.062500 -7.187500 15.687500
3464.747834 -10.625000 -4.625000 5.500000
3464.808566 -3.312500 -2.500000 1.500000
3464.848907 0.500000 -8.000000 0.687500
3464.944049 -0.937500 -0.125000 -1.500000
3464.969386 10.625000 9.875000 -4.750000
3465.011676 8.250000 14.000000 -8.000000
3465.073895 5.125000 14.625000 -21.625000
3465.145566 1.437500 2.875000 -17.625000
3465.214737 0.187500 -3.875000 11.812500
3465.269863 -5.937500 -1.750000 7.812500
3465.338706 -2.875000 -4.625000 2.125000
3465.382903 -1.125000 -5.062500 5.437500
3465.416758 1.437500 -4.375000 4.562500
3465.448775 1.687500 -5.187500 2.562500
3465.487144 2.625000 -7.312500 -1.000000
3465.533542 3.000000 -0.875000 -0.937500
3465.579793 7.312500 2.437500 -5.187500
3465.626601 10.437500 12.250000 -6.500000
3465.653661 12.562500 17.437500 -6.750000
3465.686517 -3.250000 34.000000 -18.062500
3465.748325 -0.937500 26.562500 -21.625000
3465.769371 8.375000 13.562500 -3.875000
3465.806492 2.000000 -3.250000 9.812500
3465.864072 -4.625000 -11.687500 17.562500
3465.887865 -2.000000 -8.875000 15.250000
3465.933887 -9.875000 -4.125000 8.562500
3465.979475 -13.000000 -5.562500 5.062500
3466.011965 -6.062500 -8.937500 -0.375000
3466.038495 -4.250000 -10.250000 -1.625000
3466.060400 -3.187500 -9.687500 0.000000
3466.084396 -1.562500 -8.812500 -0.687500
3466.145115 -1.687500 -2.437500 -5.250000
3466.172651 4.250000 0.500000 -3.812500
3466.209165 9.437500 -1.500000 -2.812500
3466.246809 11.437500 1.312500 -4.500000
3466.272722 7.875000 3.562500 -5.812500
3466.297224 9.500000 7.875000 -7.437500
3466.331871 5.000000 12.937500 -9.875000
3466.366277 13.187500 16.562500 -18.125000
3466.386827 6.375000 16.250000 -24.125000
3466.466836 6.375000 25.312500 -20.312500
