Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3462.173197 -0.608029 0.737082 2.430801
3462.203474 -0.607939 0.741403 2.437591
3462.244846 -0.608086 0.742455 2.442037
3462.277897 -0.606139 0.742800 2.447246
3462.343229 -0.604605 0.741001 2.467762
3462.372030 -0.605074 0.740111 2.470063
3462.447220 -0.605154 0.735431 2.479237
3462.484273 -0.600710 0.729400 2.485905
3462.550095 -0.596161 0.722942 2.492303
3462.631880 -0.596488 0.725532 2.482603
3462.692852 -0.609949 0.721668 2.461433
3462.735976 -0.620905 0.723674 2.448734
3462.771794 -0.627747 0.732415 2.449036
3462.808717 -0.624025 0.740175 2.461580
3462.871873 -0.609339 0.745023 2.496628
3462.932407 -0.607921 0.743280 2.506442
3462.949682 -0.610136 0.742342 2.508784
3462.979143 -0.612192 0.737871 2.514203
3463.047010 -0.608773 0.730334 2.527699
3463.095338 -0.603919 0.725272 2.539918
3463.114212 -0.603599 0.725371 2.541408
3463.163579 -0.597853 0.724602 2.543848
3463.239634 -0.600206 0.733254 2.532763
3463.293190 -0.615381 0.738426 2.518832
3463.348773 -0.619554 0.743886 2.517975
3463.378133 -0.608813 0.746670 2.536741
3463.442910 -0.599281 0.748140 2.558283
3463.500716 -0.592678 0.747772 2.582507
3463.555219 -0.595093 0.740881 2.593524
3463.609658 -0.598275 0.735512 2.600698
3463.647006 -0.593234 0.733921 2.606149
3463.690483 -0.588697 0.732051 2.611277
3463.760209 -0.585731 0.730593 2.612439
3463.811891 -0.585773 0.730655 2.611243
3463.865732 -0.590450 0.740981 2.595302
3463.894153 -0.600802 0.744700 2.576592
3463.986463 -0.615308 0.746893 2.559311
3464.038967 -0.597785 0.755538 2.581371
3464.076744 -0.587917 0.760298 2.600568
3464.149535 -0.579174 0.762672 2.628631
3464.255003 -0.575490 0.756007 2.642529
3464.354013 -0.569474 0.752469 2.653267
3464.399659 -0.561356 0.750206 2.661007
3464.420859 -0.549461 0.744666 2.666498
3464.461136 -0.548905 0.746501 2.660624
3464.533322 -0.568104 0.754164 2.626101
3464.600465 -0.582393 0.756204 2.606672
3464.634700 -0.577454 0.762269 2.616531
3464.672979 -0.571629 0.765570 2.631972
3464.698209 -0.566161 0.766642 2.640161
3464.748279 -0.564296 0.764975 2.659297
3464.809091 -0.563924 0.762718 2.663767
3464.849351 -0.562268 0.754676 2.670290
3464.944678 -0.560637 0.751654 2.671551
3464.969818 -0.552285 0.752608 2.663283
3465.012166 -0.554655 0.754373 2.656094
3465.074797 -0.561918 0.755969 2.631225
3465.145866 -0.586822 0.755076 2.596476
3465.215488 -0.576454 0.763150 2.607972
3465.270168 -0.571888 0.765855 2.617562
3465.338989 -0.576604 0.760254 2.626511
3465.383583 -0.573587 0.757318 2.632880
3465.417276 -0.568429 0.755724 2.639530
3465.449309 -0.565976 0.753818 2.642162
3465.487698 -0.562111 0.748345 2.645459
3465.533970 -0.559006 0.743459 2.646354
3465.580129 -0.554881 0.740638 2.642919
3465.627169 -0.552477 0.740774 2.630816
3465.654374 -0.549574 0.744092 2.625954
3465.687029 -0.567411 0.750880 2.595961
3465.748780 -0.593699 0.761514 2.561171
3465.769716 -0.605705 0.770589 2.541787
3465.806973 -0.604457 0.778120 2.542880
3465.864625 -0.590795 0.781812 2.567906
3465.888256 -0.585806 0.782412 2.576082
3465.934564 -0.580871 0.783056 2.589196
3465.979942 -0.585200 0.779564 2.597202
3466.012487 -0.585132 0.772534 2.602914
3466.038968 -0.584510 0.763666 2.608207
3466.060838 -0.583024 0.759983 2.611384
3466.084868 -0.581809 0.756030 2.613644
