6.8516e-18,0.98039,0.13587,0.20233
0.77914,1.0394,0.15098,0.20833
1.6701,0.92739,0.13242,0.19383
2.4291,1.0258,0.14918,0.22615
3.2915,0.95852,0.148,0.21618
4.0969,0.98276,0.15378,0.2263
4.9168,0.98774,0.15932,0.21506
5.7388,0.98042,0.16219,0.19066
6.5499,0.99302,0.17599,0.1964
7.3787,0.98847,0.17527,0.2114
8.1996,0.99232,0.16359,0.22007
9.0241,0.98808,0.17133,0.23597
9.837,0.98165,0.1728,0.24149
10.653,0.97714,0.15663,0.22085
11.474,0.99533,0.15272,0.22092
12.298,1.0034,0.14407,0.22881
13.123,0.98145,0.12872,0.21594
13.942,0.97114,0.13142,0.21598
14.753,0.97989,0.13403,0.23251
15.571,0.98858,0.1356,0.25365
16.393,0.97959,0.1444,0.26647
17.219,0.96429,0.15331,0.2433
18.047,0.95028,0.15538,0.22268
18.858,0.94675,0.16315,0.22631
19.67,0.96699,0.18931,0.21556
20.489,0.96377,0.19246,0.23013
21.314,0.96431,0.17405,0.26963
22.143,0.9796,0.16472,0.25103
22.966,0.96728,0.15138,0.22359
23.772,0.96611,0.13873,0.24699
24.586,0.97291,0.13138,0.26137
25.408,0.97174,0.11933,0.26188
26.236,0.96596,0.11131,0.24809
27.069,0.95435,0.11578,0.22854
27.879,0.95809,0.11925,0.24672
28.686,0.96075,0.12197,0.25546
29.503,0.96041,0.13775,0.24484
30.329,0.98444,0.14323,0.23728
31.161,0.99656,0.14271,0.24751
31.991,0.98066,0.15597,0.24993
32.791,0.98443,0.16206,0.22334
33.601,0.99474,0.16157,0.24401
34.422,0.98726,0.15792,0.25632
35.252,0.98862,0.15999,0.21242
36.089,0.99709,0.16175,0.21828
36.902,0.99217,0.1552,0.24991
37.704,0.98369,0.16234,0.22974
38.518,0.98463,0.1605,0.21285
39.344,0.98353,0.1539,0.21998
40.179,0.99003,0.15356,0.22246
41.018,0.99796,0.14568,0.23442
41.812,0.99563,0.15048,0.24653
42.618,0.99681,0.16075,0.24177
43.437,0.97316,0.16625,0.22557
44.268,0.96861,0.17653,0.22424
45.109,0.99302,0.18436,0.2212
45.926,0.97871,0.1938,0.20491
46.722,0.96805,0.20967,0.20578
47.533,0.97826,0.22125,0.19783
48.358,0.99286,0.23075,0.19328
49.196,1.0083,0.21543,0.18547
50.042,1.0037,0.19548,0.17308
50.833,0.98646,0.21128,0.19536
51.634,0.972,0.21807,0.19758
52.451,0.97696,0.21456,0.18783
